header.license,header.name,header.uwi,header.company,location.basin,header.spud_date,header.rig_release,location.gl,location.kb,location.td,location.x,location.y,location.utm,location.latitude,location.longitude,location.datum,header.status
P-139,ECE-13-P2_ST,200211E10A054E02 st,East Coast Energy,,2013-11-21,,,44.68,1259,5045389.81,529556.93,20,45.56141944,62.62126806,,
P-138,ECE-13-P1,20111E10A054O01,East Coast Energy,,2013-11-06,2013-11-16,,39.89,700,5045965.58,529996.16,20,0,0,,
P-137,Forent South Branch No.1 K-70-D/11-E-03,,Forent Energy Ltd,,,,55.9,55.9,784,,,,45.18575222,63.04787278,,
P-136,Forent Alton No. 1 E-49-C 11-E-03 ,,Forent Energy Ltd.,,,,36.11,40.24,1001,5003440.8,479104.69,20,45.18518944,63.26683361,,
P-135,E-38-A/11-E-5,,Eastrock Resources,,2011-12-02,2011-12-31,119,123,946,505648,420980,20,0,0,,
P-134,ECE-11-01,,East Coast Energy,,2011-01-21,2011-02-12,42,43,678,5045865,529976,20,0,0,NAD83,
P-133,E-38-A/11-E-5,,Elmworth Energy Corporation,Windsor Basin,2008-10-22,2008-11-11,46,51,1726,,,,45.29485083,63.72693361,,Location
P-132,O-61-C/11-E-4,,Elmworth Energy Corporation,Windsor Basin,2008-08-24,2008-10-09,61.5,66,2955,5006479.72,422123.398,20,0,0,NAD83,Location
P-131,Camden 100/G-40-A/11-E-6,,Forent Energy Ltd.,Windsor Basin,2008-08-23,2008-10-30,185,190,1464,5015962,486531,,0,0,,Location
P-130,N-14-A/11-E-5,,Elmworth Energy Corporation,Windsor Basin,2008-07-07,2008-08-20,68.54,73.22,2618,,,,45.27526,63.72334833,,Location
P-129,Kennetcook #2,,Elmworth Energy Corporation,Windsor Basin,2007-09-18,2007-10-13,90.3,94.8,1935,,,,45.20951028,63.75679444,,Plugged and Abandoned
P-128,Morgan,,Forent Energy Ltd.,Shubenacadie Basin,2007-09-16,2007-09-18,43,47,655,,,,45.04896444,63.46929222,,Well Operations
P-127,William,,Forent Energy Ltd.,Shubenacadie Basin,2007-09-14,2007-09-16,29,33,390,,,,45.04896444,63.46884583,,Well Operations
P-126,Kennetcook #1,,Elmworth Energy,Windsor Basin,2007-08-26,2007-09-15,57.4,61.9,1385,,,,45.19742861,63.71606389,,Plugged and Abandoned
P-125,Coal Mine Brook #13,,Stealth Ventures Ltd.,Cumberland Basin,2006-09-17,2006-10-06,103.7,108,1052,5054801.3,414897.62,20,0,0,,Suspended
P-124,Coal Mine Brook #12,,Stealth Ventures Ltd.,Cumberland Basin,2006-08-23,2006-09-14,103.59,107.89,1638,5054829.65,414889.19,20,0,0,NAD83,Suspended
P-123,Priestville #4,,Stealth Ventures Ltd.,Stellarton Basin,2006-05-15,2006-05-15,74.8,79.1,667.8,5046923.44,530128.39,20,0,0,NAD 83,Plugged and Abandoned
P-122,Coal Mine Brook #3,,Stealth Ventures Ltd.,Cumberland Basin,2006-01-22,2006-02-25,101.7,105.8,1687.6,5055401.32,414933.82,20,45.64694444,64.09166667,,Suspended
P-121,Milford Station #1,,EOG Resources Inc.,Shubenacadie Basin,2005-12-02,2005-12-16,38,42,870,4985368,463819,20,45.022795,63.45924194,,Plugged and Abandoned
P-120,Hardwoodlands #1,,EOG Resources Inc.,Shubenacadie Basin,2005-11-03,2005-11-15,35,39,835,,,,45.02395556,63.51383361,NAD 27,Plugged and Abandoned
P-119,Barney's Brook #1,,EOG Resources Inc.,Shubenacadie Basin,2005-09-21,2005-10-31,42.96,47.02,749,,,,45.04912444,63.46906917,NAD 27,Plugged and Abandoned
P-118,Priestville #3,,Amvest Oil & Gas,Stellarton Basin,2004-11-02,2005-01-15,47.7,52.05,994.49,5045629.31,530497.4,,0,0,,Suspended
P-117,Cogmagun #1,,Oiltec Resources Ltd.,Windsor Basin,2003-09-18,2003-09-26,48.17,53.67,495.74,4992390.081,417791.424,20,0,0,NAD 27,Plugged and Abandoned
P-116,UPCI Beech Hill #1,,Vintage Petroleum,Antigonish Basin,2003-07-21,2003-08-13,71,71,1044.5,,,,45.5733125,61.97282417,,Plugged and Abandoned
P-115,ECA 400-2,,EnCana Corporation,Stellarton Basin,2002-11-05,2002-11-18,65,65,912,,,,45.57425,62.61661111,NAD 27,Suspended
P-114,Devon Cheverie #1,,Devon Canada (formerly Northstar Energy),Windsor Basin,2001-11-10,2001-11-30,90.6,93.8,1394,5002880.531,414876.759,20,0,0,NAD 27,Plugged and Abandoned
P-113,EOG Cloverdale #1,,EOG Resources,Shubenacadie Basin,2001-10-07,2001-10-26,78.31,82.6,923,,,,45.15541944,63.23894444,NAD 27,Plugged and Abandoned
P-112,Creelman,,Northstar Energy,Windsor Basin,2001-04-22,2001-06-16,150.73,150.73,1407,5013208,453122,20,0,0.014980556,NAD 27,Plugged and Abandoned
P-111,Coolbrook,,Northstar Energy,Windsor Basin,2001-02-19,2001-04-14,60.1,63.3,1349,5004112,437870,20,0,0,NAD 27,Plugged and Abandoned
P-110,Avondale #2,,Northstar Energy,Windsor Basin,2000-01-19,2000-01-22,38.2,38.7,210,4986616,411222,20,0,0,NAD 27,Plugged and Abandoned
P-109,Avondale #1,,Northstar Energy,Windsor Basin,1999-12-15,1999-12-18,30,30.5,298,4987184,411794,20,0,0,NAD 27,Plugged and Abandoned
P-108,Alton 99-1,,Hunt Oil Company,Shubenacadie Basin,1999-07-22,1999-08-22,49.99,53.65,1282,,,20,45.19197222,63.27211111,NAD 27,Plugged and Abandoned
P-107,Highland Mall REI-SB-P3,,Resources Enterprises Inc. (REI),Stellarton Basin,1996-09-11,1996-09-29,34,37.65,1400,5049520.3,4409210.8,20,0,0,NAD 27,Suspended
P-106,Heather REI-SB-P2,,Resources Enterprises Inc. (REI),Stellarton Basin,1996-08-14,1996-09-07,26.22,29.87,1200,5048440,4409130,20,0,0,NAD 27,Suspended
P-105,Lourdes REI-SB-P1,,Resources Enterprises Inc. (REI),Stellarton Basin,1995-09-01,1995-10-11,30,33,1050,5047054,526291,20,45.59266667,62.16366667,ATS 77 ,Suspended
P-104,Springhill/Athol REI-B1-4,,Resources Enterprises Inc. (REI),Cumberland Basin,1994-10-05,1994-12-12,,,1220,5054459,414717,20,45.63844444,64.09427972,,Plugged and Abandoned
P-103,Newville Lake REI-B3-3,,Resources Enterprises Inc. (REI),Cumberland Basin,1994-10-28,1994-11-21,19.944,22.944,828,5045349,394568,20,45.55361361,64.35140583,,Plugged and Abandoned
P-102,Shallow Springhill REI-B1-2,,Resources Enterprises Inc. (REI),Cumberland Basin,1994-09-21,1994-09-29,,,183,5056748,417522,20,45.65930083,64.05931778,,Plugged and Abandoned
P-101,River Hebert  REI-B2-1,,Resources Enterprises Inc. (REI),Cumberland Basin,1994-09-12,1994-10-25,,,4283,5058940,393129,20,45.67569583,64.37282389,,Plugged and Abandoned
P-100,Angus 94-1,,Eagle Petroleum Inc./Forgaz Inc.,Shubenacadie Basin,1994-09-04,1994-10-02,,,1493,5003506,479707,20,45.18466667,63.25897222,,Plugged and Abandoned
P-99,South Noel #1,,Consultants A.G.R.E.N. Canada Ltd.,Windsor Basin,1988-11-29,1992-04-15,,,345,5005488,444994,20,45.20268611,63.70036389,,Plugged and Abandoned
P-98,Irving Chevron Mull River #1,,Chevron Canada Resources Ltd.,Western Cape Breton Basin,1988-05-30,1988-07-11,192,195.28,1502,5098111,626989,20,46.02386111,61.36111111,,Plugged and Abandoned
P-97,North Glen,,CORKAN Engineering of Canada Ltd.,Sydney Basin,1983-10-27,"TD on March 2, 1984; P& A by NSDME Aug. 1984",,,1255.8,5079560,693972,20,45.84210833,60.50194444,,Plugged and Abandoned
P-96,Loch Lomond,,CORKAN Engineering of Canada Ltd.,Central Cape Breton Basin,1983-10-28,"TD on March 1, 1984; P& A by NSDME Aug. 1984",,,246.9,5071295,687377,20,45.76978889,60.59080278,,Plugged and Abandoned
P-95,Bear Island,,CORKAN Engineering of Canada Ltd.,Central Cape Breton Basin,1983-09-30,"January 11, 1984;      P & A by NSDME Aug. 1984",,,414.2,5047999,632831,20,45.57267778,61.29835278,,Plugged and Abandoned
P-94,Port Malcolm,,CORKAN Engineering of Canada Ltd.,Central Cape Breton Basin,1983-09-13,1983-10-16,,,1091.8,5048868,633030,20,45.580525,61.29550556,,Plugged and Abandoned
P-93,Scotsburn #2,,Chevron Standard Ltd./ Irving Oil Ltd.,Cumberland Basin,1981-08-11,1981-11-29,88.84,95.39,2638,5053997,499814,20,45.63933056,63.00299444,,Plugged and Abandoned
P-92,Malagawatch #1,,Chevron Standard Ltd./ Irving Oil Ltd.,Western Cape Breton Basin,1979-10-31,1979-11-23,3.06,8.03,948,5081497,661369,20,45.86805556,60.92166667,,Plugged and Abandoned
P-91,Bras d'Or #2,,Chevron Standard Ltd./ Irving Oil Ltd.,Western Cape Breton Basin,1979-10-03,1979-10-15,,15.1,375,5082574,655150,20,45.87916667,61.00138889,,Plugged and Abandoned
P-90,Bras d'Or #1,,Chevron Standard Ltd./ Irving Oil Ltd.,Western Cape Breton Basin,1979-09-21,1979-09-30,,,216,5082103,654839,20,45.875,61.00555556,,Plugged and Abandoned
P-89,Bras d'Or #3A-78,,Chevron Standard Ltd.,Western Cape Breton Basin,1978-07-23,Unknown,,,182,5082103,654839,20,45.875,61.00555556,,Plugged and Abandoned
P-88,Brador Anchutz Hole #1,,Brad d'Or Oil Company Ltd.,Antigonish Basin,1976-07-27,1976-08-14,5.49,9.14,1044.34,5056116,587039,20,45.65301667,61.88371389,,Plugged and Abandoned
P-87,Noel #1,,SOQUIP A.C.C.et al,Windsor Basin,1975-07-18,1975-08-13,,69.9516,1448.42,5006806,444714,20,45.2125,63.70472222,,Plugged and Abandoned
