curve mnemonic,track,xleft,xright,xticks,xlabel_fmt,midline,logarithmic,linecolor,colour,fill_left_cond,fill_left,fill_right_color,fill_right_cond,fill_right,fill_left_color
GR,0,0,210,"30,60,90,120,150,180",int,,linear,black,#000000,xleft,#FFFFFF,,,,
CALI,0,4,14,"4,14",,,linear,light grey,#D3D3D3,,,,,,
PEF,0,0,20,"0,10,20",,,linear,plum,#EAADEA,,,,,,
SP,0,0,100,"25,50,75",,,linear,sap green,#308014,,,,,,
RLA5,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
RLA4,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
RLA3,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
RLA2,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
RLA1,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
RXOZ,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
RT_HRLT,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
RM_HRLT,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000000,,,#F3F3F3,,,
AF10,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000001,,,#F3F3F3,,,
AF20,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000002,,,#F3F3F3,,,
AF60,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000003,,,#F3F3F3,,,
AF90,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000004,,,#F3F3F3,,,
AMF,1,0.02,2000,"0.2,2.0,20,200",,,log,black,#000005,,,#F3F3F3,,,
DPHI_SAN,2,0.5,-0.2,"0.4,0.3,0.2,0.1,0.0",,,linear,red (scarlet),#8C1717,NPHI_SAN,#CCCCCC,,,,
DPHI_LIM,2,0.5,-0.2,"0.4,0.3,0.2,0.1,0.0",,,linear,red (scarlet),#8C1718,,,,,,
DPHI_DOL,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,red (scarlet),#8C1719,,,,,,
NPHI_SAN,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,blue (blue bird),#4973AB,,,,,,
NPHI_DOL,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,blue (blue bird),#4973AB,,,,,,
NPHI_LIM,2,0.6,-0.3,"0.4,0.3,0.2,0.1,0.0",,,linear,blue (blue bird),#4973AB,,,,,,
RHOB,3,2,3.5,"2.2,2.4,2.6,2.8,3.0",,,linear,red (scarlet),#8C1718,,,,,,
DRHO,3,2,3.5,"2.2,2.4,2.6,2.8,3.0",,,linear,light grey,#CCCCCC,,,,,,
DT,4,140,40,"40,60,80,100,120,140",,,linear,blue (blue bird),#4973AB,,,,,,
DTS,4,140,40,"40,60,80,100,120,140",,,linear,sap green,#308014,,,,,,
