Well identifier,Surface,X,Y,Z,MD,TWT picked,TWT auto,Geological age,TVT,TST,Interpreter,Observation number,Dip angle,Dip azimuth,Missing,Confidence factor,Used by dep.conv.,Used by geo mod,Symbol
P-100,TD,479707,5003506,-426,455,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-108,TD,478677,5004321,-1228.35,1282,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-108,TD,478677,5004321,-1229.35,1283,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-108,Lower Windsor,478677,5004321,-411.35,465,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-108,Horton,478677,5004321,-954.65,1008.3,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-108,Maguma,478677,5004321,-1001.35,1055,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-108,Macumber,478677,5004321,-942.35,996,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-109,TD,411847,4985267,-267.5,298,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-109,TD,411847,4985267,-269.5,300,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-109,Lower Windsor,411847,4985267,-119,149.5,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-110,TD,411428,4986817,-169.8,208.5,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-110,TD,411428,4986817,-171.3,210,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-110,Lower Windsor,411428,4986817,-160.6,199.3,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-111,TD,437911,5004325,-1281.75,1345.05,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-111,Horton,437911,5004325,-664.45,727.75,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-111,Horton Bluff FM,437911,5004325,-781.92,845.22,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-112,TD,453119,5013431,-1271.17,1421.9,,580.25,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-112,Horton Bluff FM,453119,5013431,125.73,25,,-58.67,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-113,TD,481271,5000252,-848.38,930.98,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-113,TD,481271,5000252,-848.38,930.98,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-113,Lower Windsor,481271,5000252,-316.92,399.52,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-113,Horton,481271,5000252,-812.4,895,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-113,Maguma,481271,5000252,-826.4,909,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-113,Macumber,481271,5000252,-800.4,883,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-114,TD,414929,5003105,-1410.87,1504.67,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-114,Lower Windsor,414929,5003105,-832.52,926.32,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-114,Horton,414929,5003105,-880.98,974.78,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-114,Fault,414929,5003105,-793.27,887.07,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-117,TD,417948,4992648,-441.77,495.44,,409.97,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-117,Lower Windsor,417948,4992648,-417.94,471.61,,397.82,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-119,TD,463060,4988528.28,-700.71,748,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-119,TD,463060,4988528.37,-701.71,749,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-119,Lower Windsor,463060,4988516.56,-190.8,237.83,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-119,Horton,463060,4988522.28,-591.39,638.5,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-119,Maguma,463060,4988526.25,-669.78,717,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-119,Macumber,463060,4988522.09,-585.7,632.8,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-120,TD,459530,4987591,-710.43,749.43,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-120,Lower Windsor,459530,4987591,-208.38,247.38,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-120,Horton,459530,4987591,-594.26,633.26,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-120,Maguma,459530,4987591,-639.07,678.07,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-120,Macumber,459530,4987591,-716,755,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-121,TD,463819,4985585,-836,870,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-121,Lower Windsor,463819,4985585,-293.5,327.5,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-121,Horton,463819,4985585,-756.46,790.46,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-121,Maguma,463819,4985585,-798.3,832.3,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-121,Macumber,463819,4985585,-748,782,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-126,TD,443757,5005132,-1296.1,1358,,764.43,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-126,Lower Windsor,443757,5005132,-64.6,126.5,,-110.18,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-126,Horton,443757,5005132,-279.6,341.5,,-436.33,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-126,Maguma,443757,5005132,-1267.1,1329,,683.18,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-126,Horton Bluff FM,443757,5005132,-427.29,489.19,,-540.72,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-127,TD,463079,4988497,-361,390,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-128,TD,463044,4988497,-612,655,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-129,TD,440572.86,5006609.76,-1840.15,1938.46,,882.19,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-129,Lower Windsor,440571.45,5006528.97,-602.88,698.33,,377.27,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-129,Horton,440571.6,5006537.2,-710.28,806.04,,414.48,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-129,Maguma,440572.84,5006608.6,-1808.07,1906.35,,869.34,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-129,Horton Bluff FM,440571.79,5006548.15,-850.33,946.52,,479.2,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-130,TD,443034.94,5013859.93,-2542.83,2618,,1242.67,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-130,Horton,443038,5013820.03,51.05,22.17,,-26.09,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-130,Horton Bluff FM,443038,5013837.62,-369.85,443.48,,194.32,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-130,Fault,443026.41,5013846.72,-746.98,821.35,,397.61,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-130,Fault,443029.62,5013850.98,-1420.87,1495.74,,727.24,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-131,TD,486531,5016153.4,-1251.14,1464,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-132,TD,422123,5006502.39,-2883.8,2950,,1299.08,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-132,Lower Windsor,422123,5006482.12,-827,893,,460.7,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-132,Horton,422123,5006482.87,-1108.99,1175,,572.17,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-132,Horton Bluff FM,422123,5006483.97,-1393.95,1459.96,,694.18,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-133,TD,443001,5015963,-1675,1726,,733.1,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-133,Horton Bluff FM,443001,5015963,-249,300,,108.15,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-136,TD,479105,5003441,-955.77,996,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-137,TD,496239,5003586,-728.1,784,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-137,Lower Windsor,496239,5003586,-351.26,407.16,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-137,Maguma,496239,5003586,-676.7,732.6,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-87,TD,444714,5006866.71,-1377.75,1449.1,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-87,Lower Windsor,444714,5006809.58,-179.93,249.86,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-87,Horton,444714,5006813,-276.73,346.74,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-87,Maguma,444714,5006863.9,-1318.4,1389.67,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-87,Horton Bluff FM,444714,5006819.06,-406.87,477.02,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
P-99,TD,444994,5005488,-295,345,,,,,,cenx,,,,,,TRUE,TRUE,Undefined
