station,depth,name,index,date,sname,rocktype,project,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,Sm,W,Hg,Pb,Bi,Th,U
nsdnr.dfk.aa.250,10,AA250A,1,8/22/2012,AA250A,basalt,scotsburn,1216,1135,2712,1791,46719,9573,110,255,3157,75159,21,135,26,101,2,ND,3,279,26,64,5,ND,23,1,9,3,193,33,96,ND,ND,ND,3,7,5,4,28,ND
nsdnr.dfk.aa.250,20,AA250A,2,8/22/2012,AA250A,basalt,scotsburn,2395,785,2497,1930,60265,8927,114,375,2878,73394,24,88,48,93,ND,0,4,294,27,58,5,1,17,1,7,7,218,30,100,ND,ND,23,4,9,5,13,1,ND
nsdnr.dfk.aa.250,30,AA250A,3,8/22/2012,AA250A,basalt,scotsburn,ND,785,2280,1774,52571,8894,111,251,2745,67542,22,95,33,90,ND,1,4,315,26,62,7,1,22,2,9,11,203,ND,ND,ND,ND,ND,3,10,5,1,ND,ND
nsdnr.dfk.aa.350,40,AA350A,4,8/22/2012,AA350A,sandstone,scotsburn,2711,624,1550,10077,4592,6348,89,73,601,50932,20,ND,27,58,4,ND,48,41,28,189,16,ND,2,1,11,2,174,14,71,ND,35,29,4,4,ND,4,44,4
nsdnr.dfk.aa.350,50,AA350A,5,8/22/2012,AA350A,sandstone,scotsburn,2730,789,1564,10797,4854,6873,104,59,678,47737,19,ND,24,62,11,ND,49,47,31,167,17,1,1,4,19,1,186,113,130,ND,ND,18,ND,5,ND,5,49,3
nsdnr.dfk.aa.350,60,AA350A,6,8/22/2012,AA350A,sandstone,scotsburn,1759,397,1595,9836,1703,6229,104,53,585,52209,19,ND,20,70,7,ND,46,45,28,194,17,ND,1,1,6,ND,171,125,20,ND,100,9,ND,5,1,7,20,2
nsdnr.dfk.aa.97,70,AA097A,7,8/22/2012,AA097A,sandstone,scotsburn,1902,749,1099,18873,48521,4496,73,87,797,29808,11,ND,30,95,ND,ND,85,71,42,252,17,0,12,2,15,3,306,47,133,ND,99,18,9,6,14,1,17,2
nsdnr.dfk.aa.97,80,AA097A,8,8/22/2012,AA097A,sandstone,scotsburn,1897,600,948,16814,66479,4747,78,82,1042,28257,11,ND,26,77,6,1,76,69,45,283,18,4,3,ND,9,7,282,6,310,ND,356,ND,5,7,15,4,63,4
nsdnr.dfk.aa.97,90,AA097A,9,8/22/2012,AA097A,sandstone,scotsburn,1184,484,1076,18967,12677,4869,83,84,956,30954,12,ND,30,86,5,ND,86,58,43,363,17,1,0,2,10,ND,358,94,74,ND,ND,3,ND,7,14,1,55,3
nsdnr.dfk.aa.326,100,AA326A,10,8/22/2012,AA326A,metasedimentary,scotsburn,ND,436,1045,18028,44245,3554,104,23,766,29797,11,ND,6,94,ND,0,76,238,10,121,9,2,27,ND,17,1,1089,22,ND,ND,ND,ND,3,6,ND,ND,39,ND
nsdnr.dfk.aa.326,110,AA326A,11,8/22/2012,AA326A,metasedimentary,scotsburn,1150,524,880,26158,28941,3037,132,22,607,30291,11,ND,7,80,ND,ND,111,281,12,126,9,0,18,ND,12,2,1338,ND,109,ND,535,16,10,3,ND,ND,37,0
nsdnr.dfk.aa.326,120,AA326A,12,8/22/2012,AA326A,metasedimentary,scotsburn,246,27,731,22302,20967,2972,113,17,540,24974,9,ND,12,63,ND,ND,95,257,9,116,5,ND,4,1,8,2,1167,56,198,ND,210,8,ND,2,ND,ND,7,ND
nsdnr.dfk.aa.4,130,AA004A,13,8/22/2012,AA004A,sandstone,scotsburn,822,477,90,3577,60226,1983,38,24,2128,9856,3,4,14,15,0,ND,17,51,39,108,7,ND,5,3,5,1,204,ND,22,ND,2,ND,ND,2,1,ND,4,1
nsdnr.dfk.aa.4,140,AA004A,14,8/22/2012,AA004A,sandstone,scotsburn,652,162,30,3786,2904,2063,48,28,2674,9700,4,1,12,17,2,ND,18,32,38,112,7,ND,9,ND,7,5,328,ND,129,ND,442,ND,ND,ND,ND,4,30,0
nsdnr.dfk.aa.4,150,AA004A,15,8/22/2012,AA004A,sandstone,scotsburn,ND,145,127,4389,1492,2896,46,31,4078,11766,3,2,13,22,5,ND,20,33,20,127,7,ND,ND,1,3,7,340,ND,35,ND,37,11,ND,1,0,4,17,ND
nsdnr.dfk.aa.64,160,AA064A,16,8/22/2012,AA064A,sandstone,scotsburn,380,202,73,9816,10623,2571,33,15,142,12556,5,ND,7,16,3,ND,40,15,13,131,7,1,1,2,7,4,114,32,83,4,ND,ND,ND,1,2,3,ND,0
nsdnr.dfk.aa.64,170,AA064A,17,8/22/2012,AA064A,sandstone,scotsburn,1100,424,179,12806,9776,1896,31,24,147,13921,6,ND,11,22,4,ND,47,12,13,115,9,ND,3,1,4,4,111,33,53,5,ND,ND,3,3,ND,ND,15,1
nsdnr.dfk.aa.64,180,AA064A,18,8/22/2012,AA064A,sandstone,scotsburn,845,653,45,10826,14407,1502,24,19,163,11070,5,ND,8,13,5,ND,43,17,11,78,7,ND,7,2,7,0,105,17,163,ND,ND,ND,ND,4,ND,4,ND,1
nsdnr.dfk.aa.5,190,AA005A,19,8/22/2012,AA005A,sandstone,scotsburn,2007,164,856,5608,30241,3375,39,43,690,26332,11,ND,21,44,ND,ND,28,53,24,152,10,1,1,1,4,ND,143,45,117,ND,ND,26,1,3,ND,4,40,1
nsdnr.dfk.aa.5,200,AA005A,20,8/22/2012,AA005A,sandstone,scotsburn,1710,20,684,7908,21908,4129,48,55,597,22910,9,ND,20,46,2,ND,40,54,30,218,11,ND,3,3,4,ND,205,168,46,ND,166,22,3,4,4,ND,57,0
nsdnr.dfk.aa.5,210,AA005A,21,8/22/2012,AA005A,sandstone,scotsburn,ND,388,808,8985,14575,5043,47,58,538,25249,10,ND,21,46,4,ND,45,53,31,241,14,ND,1,1,12,5,191,58,39,ND,413,ND,5,5,2,1,35,ND
nsdnr.dfk.aa.85,220,AA085A,22,8/22/2012,AA085A,sandstone,scotsburn,706,250,86,8301,22944,3117,37,44,383,12442,5,7,26,25,2,ND,41,55,23,172,11,ND,ND,ND,10,ND,125,29,32,ND,ND,30,2,0,3,0,30,4
nsdnr.dfk.aa.85,230,AA085A,23,8/22/2012,AA085A,sandstone,scotsburn,ND,269,74,7380,25125,2668,32,27,394,10700,4,ND,25,20,6,ND,35,50,19,166,11,ND,ND,ND,10,6,126,72,56,ND,ND,ND,2,3,1,ND,25,1
nsdnr.dfk.aa.85,240,AA085A,24,8/22/2012,AA085A,sandstone,scotsburn,877,338,52,7489,22359,2781,36,30,396,10675,4,ND,26,21,2,ND,35,47,23,187,10,2,ND,0,4,ND,148,ND,198,ND,77,ND,1,3,2,3,35,3
nsdnr.dfk.aa.60,250,AA060A,25,8/22/2012,AA060A,sandstone,scotsburn,2784,134,1679,15850,40119,6656,126,49,1642,59156,21,ND,13,79,1,ND,53,422,29,126,9,0,31,ND,16,1,694,32,223,ND,ND,ND,5,7,1,ND,53,ND
nsdnr.dfk.aa.60,260,AA060A,26,8/22/2012,AA060A,sandstone,scotsburn,1090,979,2002,13474,41495,8252,124,51,2154,62894,19,ND,35,104,2,1,41,338,29,120,13,0,14,1,12,1,496,141,ND,ND,133,12,1,13,4,7,47,ND
nsdnr.dfk.aa.60,270,AA060A,27,8/22/2012,AA060A,sandstone,scotsburn,2247,920,1640,10042,44281,7228,96,33,2182,54385,19,ND,46,101,ND,ND,31,323,26,118,11,ND,8,2,10,ND,324,ND,50,ND,232,ND,5,11,5,ND,38,ND
nsdnr.dfk.aa.74,280,AA074A,28,8/22/2012,AA074A,sandstone,scotsburn,98,359,153,5668,28190,2563,36,29,372,11850,4,ND,13,18,1,ND,25,49,23,152,9,1,ND,ND,9,5,132,30,75,ND,ND,23,ND,2,1,3,13,2
